"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\App.js", "JavaScript", 0, 48, 0, 9, 57
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app.json", "JSON", 50, 0, 0, 1, 51
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\api\apiClient.js", "JavaScript", 0, 5, 0, 3, 8
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\api\authApi.js", "JavaScript", 0, 5, 0, 3, 8
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\api\bookingsApi.js", "JavaScript", 0, 5, 2, 4, 11
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\api\doctorsApi.js", "JavaScript", 0, 21, 0, 7, 28
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\api\googleDriveApi.js", "JavaScript", 0, 4, 0, 3, 7
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\api\postsApi.js", "JavaScript", 0, 43, 12, 15, 70
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\api\usersApi.js", "JavaScript", 0, 4, 1, 3, 8
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\auth\context.js", "JavaScript", 0, 3, 0, 3, 6
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\auth\storage.js", "JavaScript", 0, 25, 0, 6, 31
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\components\AudioCard.js", "JavaScript", 0, 36, 0, 5, 41
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\components\AuthNavigator.js", "JavaScript", 0, 22, 0, 4, 26
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\components\Button.js", "JavaScript", 0, 34, 0, 3, 37
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\components\Card.js", "JavaScript", 0, 37, 0, 5, 42
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\components\FakeData.js", "JavaScript", 0, 3464, 0, 2, 3466
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\components\ItemSeparator.js", "JavaScript", 0, 11, 0, 4, 15
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\components\NavBar.js", "JavaScript", 0, 142, 0, 7, 149
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\components\ScreenTemplate.js", "JavaScript", 0, 49, 0, 5, 54
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\components\StackNavigator.js", "JavaScript", 0, 113, 0, 6, 119
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\BookSession\BookSession.js", "JavaScript", 0, 219, 5, 16, 240
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\BookSession\Booking.js", "JavaScript", 0, 216, 17, 15, 248
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\BookSession\CustomCalendar.js", "JavaScript", 0, 96, 5, 18, 119
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\BookSession\PaymentScreen.js", "JavaScript", 0, 12, 0, 4, 16
